name	publisher	title	coverage	subject	placeOfPublication
sn88074143	John H. Oberly & Co.	The Cairo evening bulletin.	http://sws.geonames.org/4234985/	Cairo (Ill.)--Newspapers.	Cairo, Ill.
sn85052023	Shelton M. Saufley	The interior journal.	http://dbpedia.org/resource/Stanford%2C_Kentucky	Lincoln County (Ky.)--Newspapers.	Stanford, Ky.
sn84024828	A.H. Smith & Co.	Mohave County miner.		Mineral Park (Ariz.)--Newspapers.	Mineral Park, A.T. [Ariz.]
sn83030193		The evening world.		New York County (N.Y.)--Newspapers.	New York, N.Y.
sn87076917	Springfield Pub. Co.	Springfield daily republic.	http://sws.geonames.org/4525353/	Clark County (Ohio)--Newspapers.	Springfield, O. [Ohio]
sn83045705	M.M. Murdock & R.P. Murdock	The daily eagle.	http://dbpedia.org/resource/Wichita%2C_Kansas	Wichita (Kan.)--Newspapers.	Wichita, Kan.
sn86069457	R.C. Walker	Crittenden press.	http://sws.geonames.org/4299842/	Marion (Ky.)--Newspapers.	Marion, Ky.
sn86071868	Roanoke Times Pub. Co.	The Roanoke times.	http://sws.geonames.org/4782167/	Roanoke (Va.)--Newspapers.	Roanoke, Va.
sn85038558	A.A. Pelli, and Wm. H. Areaux	The People's vindicator.	http://dbpedia.org/resource/Natchitoches%2C_Louisiana		Natchitoches, La.
sn85034438	Times Co.	The times.	http://sws.geonames.org/4781708/	Richmond (Va.)--Newspapers.	Richmond, Va.
sn85052116	Sun Pub. Co.	The Paducah sun.	http://dbpedia.org/resource/Paducah%2C_Kentucky	McCracken County (Ky.)--Newspapers.	Paducah, Ky.
sn96027111	S.W. Harmon	The Florida star.	http://dbpedia.org/resource/Cocoa%2C_Florida	Cocoa (Fla.)--Newspapers.	Titusville, Fla.
sn83025050	Herald Pub. Co.	The Langston City herald.	http://dbpedia.org/resource/Langston%2C_Oklahoma	African Americans--Oklahoma--Guthrie--Newspapers.	Langston City, O. T. [Okla.]
sn88064458	National Industrial Union of Forest and Lumber Workers, Southern District	The Voice of the people.	http://dbpedia.org/resource/New_Orleans%2C_Louisiana	Portland (Or.)--Newspapers.	New Orleans, La.
sn89058426	Wilson & Reed	The St. Lucie County tribune.		Saint Lucie County (Fla.)--Newspapers.	Fort Pierce, St. Lucie County, Fla.
sn86091040	Herald Pub. Co.	The Provo herald.	http://sws.geonames.org/5780026/		Provo City, Utah
